Contact ID,Title,Last Name,First Name,Middle Name,Company,Suffix,Billing Email,Phone,Street 1,Street 2,City,State/Providence,ZIP/Postal Code,Country,Member ID,Campaign Title,Form Title,Net Transaction Amount,Transaction Date,Gift Type,Temple Name,Designee 1 Administrative Name,Origin of Gift,Payment Method,Settlement Status,Billing Last Name,Billing First Name,Billing Middle Name,Billing Suffix,Billing Street1,Billing Street2,Billing City,Billing State,Billing Zip,Billing Phone,Is Honor Gift,Tribute First Name,Tribute Last Name,Sender Title,Sender First Name,Sender Last Name,Sender Address 1,Sender Address 2,Sender City,Sender State,Sender Zip,Sender Country,Source Code Type,Source Code Text,Sub Source Code Text,Name of Staff Member,Donation Comment,Store Name
,,,,,,,jpompe@classy.org,,,,,,,,,"Hunter's Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES      ",,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,AjdjdI8ivnObCigHHRcUZp1AlkLZR6NN,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,5th Annual StayClassy PB Pub Crawl,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,Gd6DXgE5wMkqeEDgxuckRf5RhtF7qRqk,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,5th Annual StayClassy PB Pub Crawl,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,eza1LZD2yZU6uoiAPvHcehWnhWnwfJre,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,"Hunter's Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES      ",,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,6iaRGJX08d9qCMUfAmpqebQxFHXtrOKd,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,"Hunter's Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES      ",,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,mjuiMqeRxS5phqWrXAcDFV4sTHGRNh2h,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Rock and Roll Happy Time,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,5GvVkApVFggsWqF06iFbDv2qR9kyP2un,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,5th Annual StayClassy PB Pub Crawl,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,082JwwaYUJsTYBoXdWvArEKxooopPJlk,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Rock and Roll Happy Time,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,wKrEOGU3IWyAFWvGJ3rm5v65iN2T09ON,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,5th Annual StayClassy PB Pub Crawl,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,MUS9v7byAnoELnFP49gt1MQVEPEC9XDK,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Stay Classy Tailgate,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,i4dDM2PuH7p1bVqsWROg8sMGN6LR0lDx,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,2nd Annual National Kickball Championship Presented by VAVi Sport & Social Club ,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,1i8s1tY2fsEC3rupe9GXrEG5OEXPk801,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,2nd Annual National Kickball Championship Presented by VAVi Sport & Social Club ,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,4XspEK21qHO6r3EzoOoemwEhe7KD4AtI,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,Hunters Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES         ,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,M3aMEcP7JbUacVQ624jI7ZcmJ2mCsRc9,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,2nd Annual National Kickball Championship Presented by VAVi Sport & Social Club ,,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,MIc4ouQzLqbHaQcM6Hsxt8yiMo2HjIDo,,,,,,,,,,,,,,,,
,,,,,,,jpompe@classy.org,,,,,,,,,"Hunter's Fight Duathlon/Triathlon Sponsored by RuckPack and 4GR8 TEES      ",,0.00,01/26/2017,Standard,,,,,,,,,,,,,,,,,pwdZyK864DIRwFKK2VSQGq0IKzhHcl3G,,,,,,,,,,,,,,,,
